TT       pID      AT       CT       IO_D     WT       RT       TRT     
4        101      4        18       0        0        0        0       
8        102      8        14       0        0        0        0       
22       1        1        22       0        0        0        21      
22       2        2        21       0        0        0        20      
24       103      24       2        0        0        0        0       
26       5        7        4        0        16       16       19      
31       4        6        44       4        16       0        25      
43       104      43       7        0        0        0        0       
49       105      49       1        0        0        0        0       
50       11       26       20       0        5        5        24      
53       6        11       31       0        12       12       42      
62       106      62       12       0        0        0        0       
74       29       62       12       0        12       0        12      
74       10       24       25       6        26       27       50      
82       107      82       9        0        0        0        0       
84       108      84       7        0        0        0        0       
91       13       32       17       0        43       43       59      
98       109      98       46       0        0        0        0       
115      27       61       52       0        3        30       54      
117      44       94       24       0        0        0        23      
125      37       83       9        6        34       36       42      
137      51       111      24       0        3        3        26      
148      28       62       20       3        67       64       86      
152      110      152      5        0        0        0        0       
154      111      154      3        0        0        0        0       
154      42       88       24       0        43       28       66      
157      50       110      23       2        25       0        47      
160      52       115      3        0        43       43       45      
176      38       84       5        4        88       34       92      
189      93       189      1        0        0        0        0       
201      73       158      44       0        0        0        43      
204      71       150      3        0        52       52       54      
208      3        5        53       0        151      0        203     
219      18       41       26       0        153      0        178     
219      72       154      5        6        61       55       65      
226      112      226      8        0        0        0        0       
233      61       131      11       0        92       92       102     
234      94       189      45       0        1        1        45      
242      113      242      7        0        0        0        0       
244      7        14       33       0        198      0        230     
245      114      245      4        0        0        0        0       
246      98       197      8        4        42       38       49      
256      87       181      12       0        64       64       75      
260      88       182      8        0        71       75       78      
262      100      203      16       0        44       44       59      
268      115      268      2        0        0        0        0       
270      66       142      6        0        123      123      128     
271      116      271      42       0        0        0        0       
273      35       80       13       0        181      181      193     
287      74       159      14       0        115      115      128     
293      117      293      20       0        0        0        0       
306      53       117      19       6        171      44       189     
313      97       194      49       0        71       77       119     
317      63       132      55       4        131      131      185     
325      23       52       21       6        253      255      273     
329      15       34       46       0        250      23       295     
341      62       132      41       4        169      186      209     
354      92       186      15       3        154      102      168     
381      59       129      47       4        206      209      252     
383      40       87       24       6        273      243      296     
387      91       185      28       4        175      180      202     
395      118      395      24       0        0        0        0       
403      12       29       39       6        336      43       374     
413      86       177      32       3        205      219      236     
417      119      417      2        0        0        0        0       
419      83       175      55       0        190      180      244     
424      120      424      31       0        0        0        0       
431      19       43       27       0        362      362      388     
446      121      446      9        0        0        0        0       
452      82       173      23       3        257      0        279     
455      58       128      40       6        288      122      327     
456      55       120      18       2        319      51       336     
466      54       117      29       5        321      48       349     
472      56       122      31       0        320      55       350     
478      45       98       28       0        353      358      380     
479      122      479      13       0        0        0        0       
479      49       106      32       0        342      118      373     
487      123      487      5        0        0        0        0       
491      9        20       38       3        434      34       471     
492      65       140      19       0        334      339      352     
505      89       183      49       0        274      231      322     
512      124      512      5        0        0        0        0       
517      68       144      22       0        352      352      373     
521      125      521      20       0        0        0        0       
526      126      526      15       0        0        0        0       
541      57       125      40       0        377      393      416     
551      127      551      3        0        0        0        0       
554      79       168      28       0        359      374      386     
566      80       169      15       4        383      324      397     
567      90       184      20       5        364      63       383     
569      96       192      16       5        362      367      377     
572      95       192      7        0        374      0        380     
589      48       106      22       0        462      467      483     
592      8        17       45       6        531      532      575     
601      21       46       48       0        508      109      555     
618      85       177      36       0        406      416      441     
620      69       144      44       0        433      167      476     
621      34       80       10       2        532      140      541     
627      41       87       16       0        525      63       540     
640      39       84       17       3        540      191      556     
650      128      650      18       0        0        0        0       
651      129      651      17       0        0        0        0       
659      22       50       33       0        577      312      609     
668      81       171      42       6        456      450      497     
671      77       166      50       5        456      424      505     
683      33       78       51       0        555      414      605     
685      24       55       22       3        609      586      630     
698      99       201      9        6        489      40       497     
709      43       92       28       0        590      414      617     
709      20       45       35       0        630      235      664     
721      16       36       36       3        650      46       685     
734      47       102      27       0        606      30       632     
736      36       83       42       0        612      617      653     
755      31       70       31       0        655      665      685     
768      84       175      36       5        558      562      593     
780      26       58       33       2        690      698      722     
781      130      781      24       0        0        0        0       
805      14       34       53       0        719      58       771     
813      76       162      39       6        613      607      651     
826      75       159      53       6        615      434      667     
828      131      828      28       0        0        0        0       
834      70       148      29       0        658      0        686     
847      30       66       15       4        767      633      781     
856      64       136      30       0        691      691      720     
863      132      863      29       0        0        0        0       
868      133      868      24       0        0        0        0       
883      25       56       47       2        781      779      827     
892      78       166      36       0        691      691      726     
900      134      900      36       0        0        0        0       
912      135      912      24       0        0        0        0       
936      32       74       52       0        811      823      862     
938      136      938      1        0        0        0        0       
939      46       98       49       0        793      755      841     
953      67       142      37       5        775      706      811     
979      60       131      50       0        799      376      848     
1020     137      1020     4        0        0        0        0       
1024     17       39       50       6        936      505      985     

Processes: 137
AVG WT: 235.489    AVG RT: 155.474    AVG TRT: 255.482   
TRM before deadline %: 31.387%
Migration %: 	 RTF = 3.650%		MaxW = 0.000%
Work Steal %: 69.343%
Forked Processes %: 27.007%
Killed Processes %: 1.460%

Processors: 4 [1 FCFS, 1 SJF, 1 RR, 1 EDF]
Processor Load:
p1: 2.211%
p2: 2.477%
p3: 1.360%
p4: 2.177%
Average Load: 2.056%

Processor Utilization:
p1: 79.712%
p2: 91.359%
p3: 49.948%
p4: 79.958%
Average Utilization : 75.244%
